"","Title","Year","Age","IMDb","Rotten_Tomatoes","Streamings","Genre"
"1","Breaking Bad",2008,"18+",9.5,96,"Netflix","Crime TV Shows, TV Dramas, TV Thrillers"
"2","Stranger Things",2016,"16+",8.8,93,"Netflix","TV Horror, TV Mysteries, TV Sci-Fi & Fantasy"
"3","Money Heist",2017,"18+",8.4,91,"Netflix",NA
"4","Sherlock",2010,"16+",9.1,78,"Netflix","British TV Shows, Crime TV Shows, International TV Shows"
"5","Better Call Saul",2015,"18+",8.7,97,"Netflix","Crime TV Shows, TV Comedies, TV Dramas"
"6","The Office",2005,"16+",8.9,81,"Netflix","Comedy"
"7","Black Mirror",2011,"18+",8.8,83,"Netflix","British TV Shows, International TV Shows, TV Dramas"
"8","Supernatural",2005,"16+",8.4,93,"Netflix","Classic & Cult TV, TV Action & Adventure, TV Horror"
"9","Supernatural",2005,"16+",8.4,93,"Netflix","Drama, Suspense, Horror"
"10","Peaky Blinders",2013,"18+",8.8,92,"Netflix","British TV Shows, Crime TV Shows, International TV Shows"
"11","Avatar: The Last Airbender",2005,"7+",9.2,100,"Netflix","Classic & Cult TV, Kids' TV, TV Action & Adventure"
"12","The Walking Dead",2010,"18+",8.2,81,"Netflix","Classic & Cult TV, TV Action & Adventure, TV Dramas"
"13","Dark",2017,"16+",8.7,94,"Netflix","Crime TV Shows, International TV Shows, TV Dramas"
"14","Ozark",2017,"18+",8.4,81,"Netflix","Crime TV Shows, TV Dramas, TV Thrillers"
"15","Attack on Titan",2013,"16+",8.8,94,"Netflix","Anime Series, International TV Shows"
"16","Narcos",2015,"18+",8.8,89,"Netflix","Crime TV Shows, TV Action & Adventure, TV Dramas"
"17","Fullmetal Alchemist: Brotherhood",2009,"18+",9.1,100,"Netflix","Anime Series, International TV Shows"
"18","Community",2009,"7+",8.5,88,"Netflix","TV Comedies"
"19","Mindhunter",2017,"18+",8.6,96,"Netflix",NA
"20","Parks and Recreation",2009,"16+",8.6,93,"Netflix, Prime","TV Comedies"
